id;slope;cd_water;aspect;hill90;hill5;hill45;clc00;numpoints;target
21192;6.11204;0.38204;7;253;20;178;313;0;0
21193;2.4257;0.282637;6;254;16;176;313;0;0
21194;4.65187;0.267126;4;254;5;167;313;0;0
21195;2.94441;0.228448;4;254;0;174;312;0;0
21196;0.459418;0.244313;8;254;23;181;312;0;0
21197;2.82291;0.279206;4;254;11;172;312;0;0
21198;4.2032;0.353755;4;254;11;171;312;0;0
21199;4.80355;0.402325;3;254;19;177;313;0;0
21200;5.15926;0.466572;2;253;32;187;312;0;0
21201;5.84709;0.442458;2;253;39;191;311;0;0
21202;6.12476;0.429993;3;253;31;186;311;0;0
21203;6.52328;0.35154;3;253;26;182;312;0;0
21204;5.89648;0.25432;3;253;28;184;311;0;0
21205;4.86938;0.20119;2;254;33;187;311;0;0
21206;4.53473;0.16371;3;254;29;184;311;0;0
21207;4.05091;0.147758;3;254;21;179;221;0;0
21208;1.97523;0.131132;3;254;18;177;221;0;0
21209;1.34765;0.132506;7;254;23;181;221;0;0
21210;1.6086;0.137654;8;254;25;182;313;0;0
21211;1.52097;0.128356;3;254;22;180;313;0;0
21212;3.40319;0.143288;3;254;23;180;313;0;0
21213;3.5528;0.17481;3;254;27;183;313;0;0
21214;3.26015;0.207977;2;254;32;187;313;0;0
21215;2.93408;0.254632;3;254;26;183;313;0;0
21216;2.9453;0.265971;3;254;25;182;313;0;0
21217;4.94807;0.287098;3;254;25;182;313;0;0
21218;8.55361;0.202705;3;252;18;176;313;0;0
21219;8.37189;0.140447;3;252;16;174;313;0;0
21220;4.78095;0.136837;3;254;19;177;313;0;0
21221;2.16546;0.068008;3;254;22;180;313;1;1
21222;1.71346;0;2;254;25;182;221;0;0
21223;1.98615;0;10;254;28;184;221;0;0
21224;2.12904;0;2;254;28;184;313;0;0
21225;1.86503;0.0653933;2;254;26;183;221;0;0
21226;1.46444;0.0643786;2;254;25;182;221;1;1
21227;1.17912;0.063873;3;254;23;181;221;0;0
21228;0.753987;0.063384;3;254;22;180;221;0;0
21229;0.320392;0;3;254;21;180;221;0;0
21230;0.103361;0;8;254;22;180;221;0;0
21231;0.250378;0.0633677;9;254;23;181;221;0;0
21232;0.466986;0.0633008;9;254;24;181;221;0;0
21233;0.992007;0.0899982;9;254;26;183;221;0;0
21234;1.31504;0.127428;10;254;27;184;221;0;0
21235;1.25856;0.127397;2;254;25;182;221;1;1
21236;1.33879;0.133149;9;254;27;184;221;0;0
21237;2.79729;0.167312;8;254;30;186;312;0;0
21238;3.76572;0.218594;8;254;33;187;312;0;0
21239;3.2811;0.285744;8;254;33;188;222;0;0
21240;1.90137;0.212114;10;254;28;185;222;0;0
21241;3.16661;0.139121;10;254;32;187;313;0;0
21242;4.59531;0.108166;2;254;33;187;313;0;0
21243;5.90665;0.113108;2;253;38;191;313;0;0
21244;6.39007;0.128258;9;253;49;198;313;0;0
21245;3.08964;0.09121;2;254;30;186;313;0;0
21246;5.00217;0;4;254;8;169;313;0;0
21247;5.80822;0;8;253;39;191;512;0;0
21248;8.46314;0.156061;8;252;48;197;313;0;0
21249;1.91769;0.214755;3;254;24;182;313;0;0
21250;3.99302;0.139396;2;254;33;187;313;0;0
21251;5.46412;0.111108;2;253;37;190;313;0;0
21252;6.3424;0.135745;2;253;40;192;313;0;0
21253;7.0921;0.205166;2;253;42;193;313;0;0
21254;7.74438;0.353111;2;252;40;191;311;0;0
21255;7.08697;0.371779;10;253;45;195;311;0;0
21256;5.8835;0.358961;2;253;39;191;311;0;0
21257;5.67212;0.273198;2;253;35;188;313;0;0
21258;6.29718;0.209411;2;253;40;192;313;0;0
21259;6.60121;0.12434;3;253;31;185;313;0;0
21260;5.25826;0;3;253;25;182;313;0;0
21261;4.00435;0;3;254;28;184;313;0;0
21262;3.7075;0.07678;10;254;34;188;311;0;0
21263;3.98061;0.111203;10;254;37;190;311;0;0
21264;4.82896;0.206372;2;254;31;186;311;0;0
21265;3.3815;0.186851;2;254;29;185;313;0;0
21266;1.15433;0.146944;8;254;26;183;313;0;0
21267;1.30692;0.0960725;7;254;20;179;221;0;0
21268;1.47249;0.0682554;5;254;15;175;221;0;0
21269;2.27812;0.0998332;4;254;15;175;313;0;0
21270;2.92781;0.136616;4;254;16;176;313;0;0
21271;6.18826;0.117963;4;253;8;169;313;0;0
21272;5.0988;0;4;253;0;172;221;0;0
21273;1.78767;0;10;254;28;185;313;0;0
21274;2.8678;0;9;254;34;188;313;0;0
21275;2.54445;0.067867;2;254;27;184;243;0;0
21276;2.68694;0;3;254;19;178;221;1;1
21277;0.862716;0;4;254;20;179;211;1;1
21278;1.15878;0.0638357;7;254;23;181;313;0;0
21279;2.07913;0.0662003;7;254;22;180;221;0;0
21280;2.11954;0.0938124;6;254;17;176;221;0;0
21281;3.72094;0.154576;7;254;22;180;221;0;0
21282;5.29456;0.206422;7;253;28;183;313;0;0
21283;2.16215;0.251014;7;254;18;177;312;0;0
21284;2.10617;0.249057;5;254;13;173;313;0;0
21285;0.437303;0.272932;4;254;21;179;221;0;0
21286;1.05473;0.299823;9;254;26;183;313;0;0
21287;3.2292;0.371367;8;254;33;187;221;0;0
21288;4.89308;0.462358;8;254;36;189;312;0;0
21289;1.70894;0.455535;8;254;26;183;221;0;0
21290;1.70142;0.472212;4;254;15;175;221;0;0
21291;1.30682;0.496762;6;254;18;177;312;0;0
21292;2.447;0.528449;7;254;20;178;312;0;0
